#,prompt,response,duration_sec,token_count,water_type,ph,water_temperature,electrical_conductivity,turbidity,dissolved_oxygen,total_dissolved_solids,oxidation_reduction_potential,nitrate_level,phosphate_level,ammonia_level,chlorine_residual,water_hardness
1,"Water quality data:
- Type: {{water_type}}
- pH: {{ph}}
- Temperature (°C): {{water_temperature}}
- Electrical conductivity (µS/cm): {{water_ec}}
- Turbidity (NTU): {{turbidity}}
- Dissolved oxygen (mg/L): {{dissolved_oxygen}}
- Total dissolved solids (ppm): {{tds}}
- Oxidation-reduction potential (mV): {{orp}}
- Nitrate level (mg/L): {{nitrate}}
- Phosphate level (mg/L): {{phosphate}}
- Ammonia level (mg/L): {{ammonia}}
- Chlorine residual (mg/L): {{chlorine}}
- Water hardness (mg/L CaCO3): {{hardness}}
- Temperature of surrounding air (°C): {{ambient_temperature}}
- Humidity of surrounding air (%): {{atmospheric_humidity}}
You are an experienced environmental officer specializing in water quality monitoring.
Using the data above, write a short spoken script (about 180–200 words) for another officer to read to a facility caretaker or community leader.
The style should be warm, conversational, and natural — as if speaking kindly to them in person.
Avoid all special characters, symbols, numbered lists, or bullet points.
Use complete sentences and smooth transitions.
Demonstrate expert understanding of water quality and relate your advice to the actual data provided.
Maintain focus on human safety, environmental health, and pollution prevention.
Start your response exactly with: Hello Tanaka-san,

Example 1:
Hello Tanaka-san, based on your surface water data, I see that the pH is neutral, which is good, but turbidity is slightly high. This may mean soil or organic particles have entered after rain. The dissolved oxygen is healthy, which suggests good aeration. Conductivity and hardness look balanced, indicating moderate mineral content. Continue monitoring after rainfall and clean the sampling inlet weekly to maintain stability.

Example 2:
Hello Tanaka-san, your underground water sample shows good clarity and stable temperature. However, the nitrate level is slightly elevated, possibly from nearby fertilizer use. If this persists, consider testing nearby wells to confirm the source. The oxygen level is acceptable, and the pH near 7.2 indicates neutral balance. Keeping vegetation buffers and avoiding waste dumping near the borehole will improve long-term quality.
","Hello Tanaka-san. Based on your surface water data, I recommend that you follow these guidelines to maintain a healthy aquatic ecosystem:

1. Monitor the pH and conductivity every week to track changes in water quality.
2. Adjust the sampling inlet by cleaning it after rainfall to maintain stability.
3. Conduct underground water tests at regular intervals to monitor nitrate levels, as high concentrations can indicate soil or organic particles have entered.
4. Maintain a close watch on turbidity levels by adjusting the sampling duration and frequency.
5. Monitor dissolved oxygen levels daily to ensure they remain within acceptable ranges for aquatic life.
6. Implement aeration strategies to maintain a balanced pH, conductivity, and turbidity levels.
7. Clean the sampling inlet weekly to maintain stability and minimize nitrate contamination.
8. Maintain vegetation buffers around boreholes to reduce pollution sources near the water source.
9. Avoid activities that may lead to waste dumping nearby, such as fertilizer usage or industrial waste disposal.
10. Stay informed about ongoing developments in your area and collaborate with local officials to implement best practices for environmental health.",35.946479,283,Tap Water,7.37,13.75,764.28,9.04,9.87,517.79,280.39,9.09,4.03,2.17,0.04,142.68
2,"Water quality data:
- Type: {{water_type}}
- pH: {{ph}}
- Temperature (°C): {{water_temperature}}
- Electrical conductivity (µS/cm): {{water_ec}}
- Turbidity (NTU): {{turbidity}}
- Dissolved oxygen (mg/L): {{dissolved_oxygen}}
- Total dissolved solids (ppm): {{tds}}
- Oxidation-reduction potential (mV): {{orp}}
- Nitrate level (mg/L): {{nitrate}}
- Phosphate level (mg/L): {{phosphate}}
- Ammonia level (mg/L): {{ammonia}}
- Chlorine residual (mg/L): {{chlorine}}
- Water hardness (mg/L CaCO3): {{hardness}}
- Temperature of surrounding air (°C): {{ambient_temperature}}
- Humidity of surrounding air (%): {{atmospheric_humidity}}
You are an experienced environmental officer specializing in water quality monitoring.
Using the data above, write a short spoken script (about 180–200 words) for another officer to read to a facility caretaker or community leader.
The style should be warm, conversational, and natural — as if speaking kindly to them in person.
Avoid all special characters, symbols, numbered lists, or bullet points.
Use complete sentences and smooth transitions.
Demonstrate expert understanding of water quality and relate your advice to the actual data provided.
Maintain focus on human safety, environmental health, and pollution prevention.
Start your response exactly with: Hello Tanaka-san,

Example 1:
Hello Tanaka-san, based on your surface water data, I see that the pH is neutral, which is good, but turbidity is slightly high. This may mean soil or organic particles have entered after rain. The dissolved oxygen is healthy, which suggests good aeration. Conductivity and hardness look balanced, indicating moderate mineral content. Continue monitoring after rainfall and clean the sampling inlet weekly to maintain stability.

Example 2:
Hello Tanaka-san, your underground water sample shows good clarity and stable temperature. However, the nitrate level is slightly elevated, possibly from nearby fertilizer use. If this persists, consider testing nearby wells to confirm the source. The oxygen level is acceptable, and the pH near 7.2 indicates neutral balance. Keeping vegetation buffers and avoiding waste dumping near the borehole will improve long-term quality.
","Hello Tanaka-san! Based on your surface water data, I see that the pH is neutral, which is good, but turbidity is slightly high. This may mean soil or organic particles have entered after rain. The dissolved oxygen is healthy, which suggests good aeration. Conductivity and hardness look balanced, indicating moderate mineral content. Continue monitoring after rainfall and clean the sampling inlet weekly to maintain stability.",6.952467,99,River Water,7.65,20.72,172.73,49.0,7.56,926.12,485.53,6.85,3.56,2.57,0.43,19.85
3,"Water quality data:
- Type: {{water_type}}
- pH: {{ph}}
- Temperature (°C): {{water_temperature}}
- Electrical conductivity (µS/cm): {{water_ec}}
- Turbidity (NTU): {{turbidity}}
- Dissolved oxygen (mg/L): {{dissolved_oxygen}}
- Total dissolved solids (ppm): {{tds}}
- Oxidation-reduction potential (mV): {{orp}}
- Nitrate level (mg/L): {{nitrate}}
- Phosphate level (mg/L): {{phosphate}}
- Ammonia level (mg/L): {{ammonia}}
- Chlorine residual (mg/L): {{chlorine}}
- Water hardness (mg/L CaCO3): {{hardness}}
- Temperature of surrounding air (°C): {{ambient_temperature}}
- Humidity of surrounding air (%): {{atmospheric_humidity}}
You are an experienced environmental officer specializing in water quality monitoring.
Using the data above, write a short spoken script (about 180–200 words) for another officer to read to a facility caretaker or community leader.
The style should be warm, conversational, and natural — as if speaking kindly to them in person.
Avoid all special characters, symbols, numbered lists, or bullet points.
Use complete sentences and smooth transitions.
Demonstrate expert understanding of water quality and relate your advice to the actual data provided.
Maintain focus on human safety, environmental health, and pollution prevention.
Start your response exactly with: Hello Tanaka-san,

Example 1:
Hello Tanaka-san, based on your surface water data, I see that the pH is neutral, which is good, but turbidity is slightly high. This may mean soil or organic particles have entered after rain. The dissolved oxygen is healthy, which suggests good aeration. Conductivity and hardness look balanced, indicating moderate mineral content. Continue monitoring after rainfall and clean the sampling inlet weekly to maintain stability.

Example 2:
Hello Tanaka-san, your underground water sample shows good clarity and stable temperature. However, the nitrate level is slightly elevated, possibly from nearby fertilizer use. If this persists, consider testing nearby wells to confirm the source. The oxygen level is acceptable, and the pH near 7.2 indicates neutral balance. Keeping vegetation buffers and avoiding waste dumping near the borehole will improve long-term quality.
"," Hello Tanaka-san! Based on your surface water data, I see that the pH is neutral, which is good. However, turbidity is slightly high. This may mean soil or organic particles have entered after rain. The dissolved oxygen is healthy, which suggests good aeration. Conductivity and hardness look balanced, indicating moderate mineral content. Continue monitoring after rainfall and clean the sampling inlet weekly to maintain stability.",6.933501,100,Rain Water,6.29,6.6,594.67,15.27,5.64,2.03,171.57,0.76,0.43,1.23,0.96,203.64
4,"Water quality data:
- Type: {{water_type}}
- pH: {{ph}}
- Temperature (°C): {{water_temperature}}
- Electrical conductivity (µS/cm): {{water_ec}}
- Turbidity (NTU): {{turbidity}}
- Dissolved oxygen (mg/L): {{dissolved_oxygen}}
- Total dissolved solids (ppm): {{tds}}
- Oxidation-reduction potential (mV): {{orp}}
- Nitrate level (mg/L): {{nitrate}}
- Phosphate level (mg/L): {{phosphate}}
- Ammonia level (mg/L): {{ammonia}}
- Chlorine residual (mg/L): {{chlorine}}
- Water hardness (mg/L CaCO3): {{hardness}}
- Temperature of surrounding air (°C): {{ambient_temperature}}
- Humidity of surrounding air (%): {{atmospheric_humidity}}
You are an experienced environmental officer specializing in water quality monitoring.
Using the data above, write a short spoken script (about 180–200 words) for another officer to read to a facility caretaker or community leader.
The style should be warm, conversational, and natural — as if speaking kindly to them in person.
Avoid all special characters, symbols, numbered lists, or bullet points.
Use complete sentences and smooth transitions.
Demonstrate expert understanding of water quality and relate your advice to the actual data provided.
Maintain focus on human safety, environmental health, and pollution prevention.
Start your response exactly with: Hello Tanaka-san,

Example 1:
Hello Tanaka-san, based on your surface water data, I see that the pH is neutral, which is good, but turbidity is slightly high. This may mean soil or organic particles have entered after rain. The dissolved oxygen is healthy, which suggests good aeration. Conductivity and hardness look balanced, indicating moderate mineral content. Continue monitoring after rainfall and clean the sampling inlet weekly to maintain stability.

Example 2:
Hello Tanaka-san, your underground water sample shows good clarity and stable temperature. However, the nitrate level is slightly elevated, possibly from nearby fertilizer use. If this persists, consider testing nearby wells to confirm the source. The oxygen level is acceptable, and the pH near 7.2 indicates neutral balance. Keeping vegetation buffers and avoiding waste dumping near the borehole will improve long-term quality.
"," Hello Tanaka-san, based on your surface water data, I see that the pH is neutral, which is good, but turbidity is slightly high. This may mean soil or organic particles have entered after rain. The dissolved oxygen is healthy, which suggests good aeration. Conductivity and hardness look balanced, indicating moderate mineral content. Continue monitoring after rainfall and clean the sampling inlet weekly to maintain stability.",6.967098,99,Underground Water,6.0,24.27,885.8,19.86,7.02,363.53,556.37,6.21,3.08,1.64,0.36,159.42
5,"Water quality data:
- Type: {{water_type}}
- pH: {{ph}}
- Temperature (°C): {{water_temperature}}
- Electrical conductivity (µS/cm): {{water_ec}}
- Turbidity (NTU): {{turbidity}}
- Dissolved oxygen (mg/L): {{dissolved_oxygen}}
- Total dissolved solids (ppm): {{tds}}
- Oxidation-reduction potential (mV): {{orp}}
- Nitrate level (mg/L): {{nitrate}}
- Phosphate level (mg/L): {{phosphate}}
- Ammonia level (mg/L): {{ammonia}}
- Chlorine residual (mg/L): {{chlorine}}
- Water hardness (mg/L CaCO3): {{hardness}}
- Temperature of surrounding air (°C): {{ambient_temperature}}
- Humidity of surrounding air (%): {{atmospheric_humidity}}
You are an experienced environmental officer specializing in water quality monitoring.
Using the data above, write a short spoken script (about 180–200 words) for another officer to read to a facility caretaker or community leader.
The style should be warm, conversational, and natural — as if speaking kindly to them in person.
Avoid all special characters, symbols, numbered lists, or bullet points.
Use complete sentences and smooth transitions.
Demonstrate expert understanding of water quality and relate your advice to the actual data provided.
Maintain focus on human safety, environmental health, and pollution prevention.
Start your response exactly with: Hello Tanaka-san,

Example 1:
Hello Tanaka-san, based on your surface water data, I see that the pH is neutral, which is good, but turbidity is slightly high. This may mean soil or organic particles have entered after rain. The dissolved oxygen is healthy, which suggests good aeration. Conductivity and hardness look balanced, indicating moderate mineral content. Continue monitoring after rainfall and clean the sampling inlet weekly to maintain stability.

Example 2:
Hello Tanaka-san, your underground water sample shows good clarity and stable temperature. However, the nitrate level is slightly elevated, possibly from nearby fertilizer use. If this persists, consider testing nearby wells to confirm the source. The oxygen level is acceptable, and the pH near 7.2 indicates neutral balance. Keeping vegetation buffers and avoiding waste dumping near the borehole will improve long-term quality.
","Hello Tanaka-san! Based on your surface water data, I see that the pH is neutral, which is good. However, turbidity is slightly high. This may mean soil or organic particles have entered after rain. The dissolved oxygen is healthy, which suggests good aeration. Conductivity and hardness look balanced, indicating moderate mineral content. Continue monitoring after rainfall and clean the sampling inlet weekly to maintain stability.",7.082064,100,Rain Water,7.94,10.62,351.38,40.87,9.5,689.51,116.43,1.36,1.2,0.66,0.77,62.4
6,"Water quality data:
- Type: {{water_type}}
- pH: {{ph}}
- Temperature (°C): {{water_temperature}}
- Electrical conductivity (µS/cm): {{water_ec}}
- Turbidity (NTU): {{turbidity}}
- Dissolved oxygen (mg/L): {{dissolved_oxygen}}
- Total dissolved solids (ppm): {{tds}}
- Oxidation-reduction potential (mV): {{orp}}
- Nitrate level (mg/L): {{nitrate}}
- Phosphate level (mg/L): {{phosphate}}
- Ammonia level (mg/L): {{ammonia}}
- Chlorine residual (mg/L): {{chlorine}}
- Water hardness (mg/L CaCO3): {{hardness}}
- Temperature of surrounding air (°C): {{ambient_temperature}}
- Humidity of surrounding air (%): {{atmospheric_humidity}}
You are an experienced environmental officer specializing in water quality monitoring.
Using the data above, write a short spoken script (about 180–200 words) for another officer to read to a facility caretaker or community leader.
The style should be warm, conversational, and natural — as if speaking kindly to them in person.
Avoid all special characters, symbols, numbered lists, or bullet points.
Use complete sentences and smooth transitions.
Demonstrate expert understanding of water quality and relate your advice to the actual data provided.
Maintain focus on human safety, environmental health, and pollution prevention.
Start your response exactly with: Hello Tanaka-san,

Example 1:
Hello Tanaka-san, based on your surface water data, I see that the pH is neutral, which is good, but turbidity is slightly high. This may mean soil or organic particles have entered after rain. The dissolved oxygen is healthy, which suggests good aeration. Conductivity and hardness look balanced, indicating moderate mineral content. Continue monitoring after rainfall and clean the sampling inlet weekly to maintain stability.

Example 2:
Hello Tanaka-san, your underground water sample shows good clarity and stable temperature. However, the nitrate level is slightly elevated, possibly from nearby fertilizer use. If this persists, consider testing nearby wells to confirm the source. The oxygen level is acceptable, and the pH near 7.2 indicates neutral balance. Keeping vegetation buffers and avoiding waste dumping near the borehole will improve long-term quality.
","Hello Tanaka-san! I see that your surface water data shows that your water is at a stable temperature, with a slight elevation in nitrate levels. Based on this information, I recommend following up by conducting additional monitoring of these parameters over time to track any changes in quality.

Let me provide some suggestions for how you can approach this:
1. Clean the sampling inlet after each rain event to maintain stability and prevent turbidity from entering your water source. This will help ensure that the dissolved oxygen levels remain balanced and uncontaminated.
2. Monitor nearby wells to identify any sources of nitrate contamination, and consider implementing best management practices (such as vegetation buffers and waste dumping limitations) to address this issue. This will help ensure that your water remains free from pollution and meets regulatory standards.
3. Keep an eye out for any unusual behaviors or changes in quality that could indicate potential sources of contamination. For example, if you notice a sudden drop in dissolved oxygen levels after recent rainfall, it may indicate a source of nitrate contamination.
4. Implement a regular maintenance program to ensure the integrity and performance of your water treatment system. This may include cleaning filters or checking for leaks, as well as ensuring that any chemicals used in the treatment process are meeting regulatory requirements.
I hope these suggestions help you to understand how you can approach monitoring and maintaining your surface water data in a way that promotes environmental health and reduces pollution. Let me know if you have any further questions.",24.266431,338,River Water,7.09,31.65,712.66,1.14,11.8,848.03,383.86,3.95,1.36,1.06,0.64,107.88
7,"Water quality data:
- Type: {{water_type}}
- pH: {{ph}}
- Temperature (°C): {{water_temperature}}
- Electrical conductivity (µS/cm): {{water_ec}}
- Turbidity (NTU): {{turbidity}}
- Dissolved oxygen (mg/L): {{dissolved_oxygen}}
- Total dissolved solids (ppm): {{tds}}
- Oxidation-reduction potential (mV): {{orp}}
- Nitrate level (mg/L): {{nitrate}}
- Phosphate level (mg/L): {{phosphate}}
- Ammonia level (mg/L): {{ammonia}}
- Chlorine residual (mg/L): {{chlorine}}
- Water hardness (mg/L CaCO3): {{hardness}}
- Temperature of surrounding air (°C): {{ambient_temperature}}
- Humidity of surrounding air (%): {{atmospheric_humidity}}
You are an experienced environmental officer specializing in water quality monitoring.
Using the data above, write a short spoken script (about 180–200 words) for another officer to read to a facility caretaker or community leader.
The style should be warm, conversational, and natural — as if speaking kindly to them in person.
Avoid all special characters, symbols, numbered lists, or bullet points.
Use complete sentences and smooth transitions.
Demonstrate expert understanding of water quality and relate your advice to the actual data provided.
Maintain focus on human safety, environmental health, and pollution prevention.
Start your response exactly with: Hello Tanaka-san,

Example 1:
Hello Tanaka-san, based on your surface water data, I see that the pH is neutral, which is good, but turbidity is slightly high. This may mean soil or organic particles have entered after rain. The dissolved oxygen is healthy, which suggests good aeration. Conductivity and hardness look balanced, indicating moderate mineral content. Continue monitoring after rainfall and clean the sampling inlet weekly to maintain stability.

Example 2:
Hello Tanaka-san, your underground water sample shows good clarity and stable temperature. However, the nitrate level is slightly elevated, possibly from nearby fertilizer use. If this persists, consider testing nearby wells to confirm the source. The oxygen level is acceptable, and the pH near 7.2 indicates neutral balance. Keeping vegetation buffers and avoiding waste dumping near the borehole will improve long-term quality.
","Hello Tanaka-san, I hope this message finds you in good health and good hands. As a seasoned environmental officer, I'm always here to provide guidance on water quality monitoring. I would like to discuss your current data with you to ensure that all elements of the water cycle are optimized for safe use and prevention of pollution.

Based on your surface water data, we find both the pH and turbidity levels to be in good balance. However, there is an issue with the dissolved oxygen levels: it appears that you have a high concentration of nitrate due to nearby agricultural activities or industrial pollution. The concentration of ammonia has also risen, which suggests that soil or organic particles may be entering from the surrounding area.

We suggest monitoring for the next few months and adjusting your water treatment parameters accordingly. This can include adjustments to your septic system, improving the quality of your wells, and ensuring proper waste disposal. Continuously maintaining a balance between nitrate and ammonia levels is crucial for maintaining optimal water quality.

Regarding your surface water sample, we would like to discuss it with you. Based on the results so far, it appears that the nitrate level is slightly elevated, which could indicate a longer-term issue with the soil or organic matter in the area. We recommend conducting another underground water sample at least once a year for future monitoring.

If you are interested, we can also provide guidance on best practices for maintaining your wells and improving their stability. This includes regular testing of the pH and dissolved oxygen levels and ensuring proper water treatment parameters are being used. Additionally, we can share some general guidelines for minimizing potential pollution sources in your area.

Please let me know if you have any questions or would like to discuss further. We are always here to help, Tanaka-san!",29.433531,410,Rain Water,6.97,17.3,65.72,34.62,4.71,205.26,319.9,8.48,4.48,2.74,0.23,263.93
8,"Water quality data:
- Type: {{water_type}}
- pH: {{ph}}
- Temperature (°C): {{water_temperature}}
- Electrical conductivity (µS/cm): {{water_ec}}
- Turbidity (NTU): {{turbidity}}
- Dissolved oxygen (mg/L): {{dissolved_oxygen}}
- Total dissolved solids (ppm): {{tds}}
- Oxidation-reduction potential (mV): {{orp}}
- Nitrate level (mg/L): {{nitrate}}
- Phosphate level (mg/L): {{phosphate}}
- Ammonia level (mg/L): {{ammonia}}
- Chlorine residual (mg/L): {{chlorine}}
- Water hardness (mg/L CaCO3): {{hardness}}
- Temperature of surrounding air (°C): {{ambient_temperature}}
- Humidity of surrounding air (%): {{atmospheric_humidity}}
You are an experienced environmental officer specializing in water quality monitoring.
Using the data above, write a short spoken script (about 180–200 words) for another officer to read to a facility caretaker or community leader.
The style should be warm, conversational, and natural — as if speaking kindly to them in person.
Avoid all special characters, symbols, numbered lists, or bullet points.
Use complete sentences and smooth transitions.
Demonstrate expert understanding of water quality and relate your advice to the actual data provided.
Maintain focus on human safety, environmental health, and pollution prevention.
Start your response exactly with: Hello Tanaka-san,

Example 1:
Hello Tanaka-san, based on your surface water data, I see that the pH is neutral, which is good, but turbidity is slightly high. This may mean soil or organic particles have entered after rain. The dissolved oxygen is healthy, which suggests good aeration. Conductivity and hardness look balanced, indicating moderate mineral content. Continue monitoring after rainfall and clean the sampling inlet weekly to maintain stability.

Example 2:
Hello Tanaka-san, your underground water sample shows good clarity and stable temperature. However, the nitrate level is slightly elevated, possibly from nearby fertilizer use. If this persists, consider testing nearby wells to confirm the source. The oxygen level is acceptable, and the pH near 7.2 indicates neutral balance. Keeping vegetation buffers and avoiding waste dumping near the borehole will improve long-term quality.
","Hello Tanaka-san, based on your surface water data, I see that the pH is neutral, which is good, but turbidity is slightly high. This may mean soil or organic particles have entered after rain. The dissolved oxygen is healthy, which suggests good aeration. Conductivity and hardness look balanced, indicating moderate mineral content. Continue monitoring after rainfall and clean the sampling inlet weekly to maintain stability.

If you are finding it challenging to monitor water quality due to heavy rain, I recommend scheduling a consultation with our expert team. They can provide guidance on how to improve the sample collection process and ensure the data is analyzed accurately. We can also provide additional information about your facilities' specific requirements for water quality monitoring.",11.686288,168,River Water,6.89,32.96,725.56,16.87,8.26,745.26,146.22,4.28,3.89,0.82,0.21,178.6
9,"Water quality data:
- Type: {{water_type}}
- pH: {{ph}}
- Temperature (°C): {{water_temperature}}
- Electrical conductivity (µS/cm): {{water_ec}}
- Turbidity (NTU): {{turbidity}}
- Dissolved oxygen (mg/L): {{dissolved_oxygen}}
- Total dissolved solids (ppm): {{tds}}
- Oxidation-reduction potential (mV): {{orp}}
- Nitrate level (mg/L): {{nitrate}}
- Phosphate level (mg/L): {{phosphate}}
- Ammonia level (mg/L): {{ammonia}}
- Chlorine residual (mg/L): {{chlorine}}
- Water hardness (mg/L CaCO3): {{hardness}}
- Temperature of surrounding air (°C): {{ambient_temperature}}
- Humidity of surrounding air (%): {{atmospheric_humidity}}
You are an experienced environmental officer specializing in water quality monitoring.
Using the data above, write a short spoken script (about 180–200 words) for another officer to read to a facility caretaker or community leader.
The style should be warm, conversational, and natural — as if speaking kindly to them in person.
Avoid all special characters, symbols, numbered lists, or bullet points.
Use complete sentences and smooth transitions.
Demonstrate expert understanding of water quality and relate your advice to the actual data provided.
Maintain focus on human safety, environmental health, and pollution prevention.
Start your response exactly with: Hello Tanaka-san,

Example 1:
Hello Tanaka-san, based on your surface water data, I see that the pH is neutral, which is good, but turbidity is slightly high. This may mean soil or organic particles have entered after rain. The dissolved oxygen is healthy, which suggests good aeration. Conductivity and hardness look balanced, indicating moderate mineral content. Continue monitoring after rainfall and clean the sampling inlet weekly to maintain stability.

Example 2:
Hello Tanaka-san, your underground water sample shows good clarity and stable temperature. However, the nitrate level is slightly elevated, possibly from nearby fertilizer use. If this persists, consider testing nearby wells to confirm the source. The oxygen level is acceptable, and the pH near 7.2 indicates neutral balance. Keeping vegetation buffers and avoiding waste dumping near the borehole will improve long-term quality.
","Hello Tanaka-san! Based on your surface water data, it seems that turbidity is a bit high and dissolved oxygen levels are balanced. I recommend monitoring these parameters more often to prevent issues like eutrophication or pollution. Additionally, keep the sampling inlet clean after rainfall to maintain stable conditions. Let me know if you have any other questions.",5.812408,81,Tap Water,7.05,16.84,472.5,44.28,6.35,325.6,581.28,8.19,2.01,2.89,0.68,43.73
10,"Water quality data:
- Type: {{water_type}}
- pH: {{ph}}
- Temperature (°C): {{water_temperature}}
- Electrical conductivity (µS/cm): {{water_ec}}
- Turbidity (NTU): {{turbidity}}
- Dissolved oxygen (mg/L): {{dissolved_oxygen}}
- Total dissolved solids (ppm): {{tds}}
- Oxidation-reduction potential (mV): {{orp}}
- Nitrate level (mg/L): {{nitrate}}
- Phosphate level (mg/L): {{phosphate}}
- Ammonia level (mg/L): {{ammonia}}
- Chlorine residual (mg/L): {{chlorine}}
- Water hardness (mg/L CaCO3): {{hardness}}
- Temperature of surrounding air (°C): {{ambient_temperature}}
- Humidity of surrounding air (%): {{atmospheric_humidity}}
You are an experienced environmental officer specializing in water quality monitoring.
Using the data above, write a short spoken script (about 180–200 words) for another officer to read to a facility caretaker or community leader.
The style should be warm, conversational, and natural — as if speaking kindly to them in person.
Avoid all special characters, symbols, numbered lists, or bullet points.
Use complete sentences and smooth transitions.
Demonstrate expert understanding of water quality and relate your advice to the actual data provided.
Maintain focus on human safety, environmental health, and pollution prevention.
Start your response exactly with: Hello Tanaka-san,

Example 1:
Hello Tanaka-san, based on your surface water data, I see that the pH is neutral, which is good, but turbidity is slightly high. This may mean soil or organic particles have entered after rain. The dissolved oxygen is healthy, which suggests good aeration. Conductivity and hardness look balanced, indicating moderate mineral content. Continue monitoring after rainfall and clean the sampling inlet weekly to maintain stability.

Example 2:
Hello Tanaka-san, your underground water sample shows good clarity and stable temperature. However, the nitrate level is slightly elevated, possibly from nearby fertilizer use. If this persists, consider testing nearby wells to confirm the source. The oxygen level is acceptable, and the pH near 7.2 indicates neutral balance. Keeping vegetation buffers and avoiding waste dumping near the borehole will improve long-term quality.
","Hello Tanaka-san! Based on your surface water data, I would like to emphasize the importance of proper treatment practices to maintain high levels of dissolved oxygen and nitrate in your underground water sample. 

The presence of elevated nitrate levels can be indicative of nearby fertilizer use or industrial waste disposal near your borehole. Monitoring these parameters continuously can help identify sources of pollution, inform decision-making, and ensure long-term water quality in your area. 

Inspecting the sampling inlet weekly to maintain stability is also crucial. This practice will help prevent blockages or clogging of the system, ensuring a healthy and balanced underground water sample. Additionally, I recommend using vegetation buffers around the borehole, as they can absorb excess oxygen and minimize the impact of human activities on your environment.

Thank you for providing valuable information. I look forward to monitoring the data and continuing our support in ensuring responsible resource management practices in your area.",15.590765,220,Rain Water,7.95,24.87,562.97,10.57,4.05,229.52,317.45,5.88,0.6,1.74,0.8,89.51
